rule_id,level,table,field,rule,ref_table,ref_key,ref_field,vocabulary_id,field_value,unit,rangeorder,threashold,note1,note2,note3
50001,1,Diagnosis,DX,age accuracy,Demographic,PatID,"year(T2.""Birth_Date"")",KCD7,'E30.1',,H,50,"조발사춘기, 조발월경",,
50002,1,Diagnosis,DX,age accuracy,Demographic,PatID,"year(T2.""Birth_Date"")",KCD7,'E30.8',,H,50,"기타사춘기장애, 조기유방발육개시",,
50003,1,Diagnosis,DX,age accuracy,Demographic,PatID,"year(T2.""Birth_Date"")",KCD7,'E30.9',,H,50,상세불명의 사춘기장애,,
50004,1,Diagnosis,DX,age accuracy,Demographic,PatID,"year(T2.""Birth_Date"")",KCD7,'F93',,H,50,소아기에만 발병하는 정서장애,,
50005,1,Diagnosis,DX,age accuracy,Demographic,PatID,"year(T2.""Birth_Date"")",KCD7,'F94',,H,50,소아기 및 청소년기에만 발병하는 사회적 기능수행장애,,
50006,1,Diagnosis,DX,age accuracy,Demographic,PatID,"year(T2.""Birth_Date"")",KCD7,'F98.0',,L,5,비기질성 유뇨증,,
50007,1,Diagnosis,DX,age accuracy,Demographic,PatID,"year(T2.""Birth_Date"")",KCD7,'F98.1',,L,4,비기질성 유분증,,
50008,1,Diagnosis,DX,age accuracy,Demographic,PatID,"year(T2.""Birth_Date"")",KCD7,'R95',,H,50,영아돌연사증후군,,
50009,2,condition_occurrence,condition_concept_id,age accuracy,person,person_id,"T2.""year_of_birth""",SNOMED,433758,,H,50,Childhood emotional disorder,,
50010,2,condition_occurrence,condition_concept_id,age accuracy,person,person_id,"T2.""year_of_birth""",SNOMED,435937,,H,50,Sudden infant death syndrome,,
50011,2,condition_occurrence,condition_concept_id,age accuracy,person,person_id,"T2.""year_of_birth""",SNOMED,440695,,L,4,Encopresis,,
50012,2,condition_occurrence,condition_concept_id,age accuracy,person,person_id,"T2.""year_of_birth""",SNOMED,4028939,,H,50,Disorder of puberty,,
50013,2,condition_occurrence,condition_concept_id,age accuracy,person,person_id,"T2.""year_of_birth""",SNOMED,4039212,,H,50,Separation anxiety disorder of childhood,,
50014,2,condition_occurrence,condition_concept_id,age accuracy,person,person_id,"T2.""year_of_birth""",SNOMED,4100089,,H,50,Sibling jealousy,,
50015,2,condition_occurrence,condition_concept_id,age accuracy,person,person_id,"T2.""year_of_birth""",SNOMED,4100100,,H,50,Childhood phobic anxiety disorder,,
50016,2,condition_occurrence,condition_concept_id,age accuracy,person,person_id,"T2.""year_of_birth""",SNOMED,4100101,,H,50,Childhood or adolescent disorder of social functioning,,
50017,2,condition_occurrence,condition_concept_id,age accuracy,person,person_id,"T2.""year_of_birth""",SNOMED,4151722,,H,50,Childhood disinhibited attachment disorder,,
50018,2,condition_occurrence,condition_concept_id,age accuracy,person,person_id,"T2.""year_of_birth""",SNOMED,4172646,,L,5,Urinary incontinence of non-organic origin,,
50019,2,condition_occurrence,condition_concept_id,age accuracy,person,person_id,"T2.""year_of_birth""",SNOMED,4185575,,H,50,Reactive attachment disorder of early childhood,,
50020,2,condition_occurrence,condition_concept_id,age accuracy,person,person_id,"T2.""year_of_birth""",SNOMED,4217365,,H,50,Elective mutism,,
50021,2,condition_occurrence,condition_concept_id,age accuracy,person,person_id,"T2.""year_of_birth""",SNOMED,4267558,,H,50,Precocious puberty (disorder),,
50022,2,condition_occurrence,condition_concept_id,age accuracy,person,person_id,"T2.""year_of_birth""",SNOMED,4272468,,H,50,Avoidant disorder of childhood,,
50023,2,condition_occurrence,condition_concept_id,age accuracy,person,person_id,"T2.""year_of_birth""",SNOMED,37395454,,H,50,Sudden infant death syndrome with mention of autopsy,,
50024,2,condition_occurrence,condition_concept_id,age accuracy,person,person_id,"T2.""year_of_birth""",SNOMED,37395455,,H,50,Sudden infant death syndrome without mention of autopsy (event),,
50025,2,condition_occurrence,condition_source_concept_id,age accuracy,person,person_id,"T2.""year_of_birth""",KCD7,42486249,,H,50,"조발사춘기, 조발월경",E30.1,
50026,2,condition_occurrence,condition_source_concept_id,age accuracy,person,person_id,"T2.""year_of_birth""",KCD7,42486250,,H,50,"기타사춘기장애, 조기유방발육개시",E30.8,
50027,2,condition_occurrence,condition_source_concept_id,age accuracy,person,person_id,"T2.""year_of_birth""",KCD7,42486251,,H,50,상세불명의 사춘기장애,E30.9,
50028,2,condition_occurrence,condition_source_concept_id,age accuracy,person,person_id,"T2.""year_of_birth""",KCD7,42486915,,H,50,소아기에만 발병하는 정서장애,F93,
50029,2,condition_occurrence,condition_source_concept_id,age accuracy,person,person_id,"T2.""year_of_birth""",KCD7,42486916,,H,50,소아기의 분리불안장애,F93.0,
50030,2,condition_occurrence,condition_source_concept_id,age accuracy,person,person_id,"T2.""year_of_birth""",KCD7,42486917,,H,50,소아기의 공포불안장애,F93.1,
50031,2,condition_occurrence,condition_source_concept_id,age accuracy,person,person_id,"T2.""year_of_birth""",KCD7,42486918,,H,50,소아기의 사회적 불안장애,F93.2,
50032,2,condition_occurrence,condition_source_concept_id,age accuracy,person,person_id,"T2.""year_of_birth""",KCD7,42486919,,H,50,동기간경쟁장애,F93.3,
50033,2,condition_occurrence,condition_source_concept_id,age accuracy,person,person_id,"T2.""year_of_birth""",KCD7,42486920,,H,50,기타 소아기 정서장애,F93.8,
50034,2,condition_occurrence,condition_source_concept_id,age accuracy,person,person_id,"T2.""year_of_birth""",KCD7,42486921,,H,50,상세불명의 소아기 정서장애,F93.9,
50035,2,condition_occurrence,condition_source_concept_id,age accuracy,person,person_id,"T2.""year_of_birth""",KCD7,42486922,,H,50,소아기 및 청소년기에만 발병하는 사회적 기능수행장애,F94,
50036,2,condition_occurrence,condition_source_concept_id,age accuracy,person,person_id,"T2.""year_of_birth""",KCD7,42486923,,H,50,선택적 무언증,F94.0,
50037,2,condition_occurrence,condition_source_concept_id,age accuracy,person,person_id,"T2.""year_of_birth""",KCD7,42486924,,H,50,소아기 반응성 애착장애,F94.1,
50038,2,condition_occurrence,condition_source_concept_id,age accuracy,person,person_id,"T2.""year_of_birth""",KCD7,42486925,,H,50,소아기 무억제성 애착장애,F94.2,
50039,2,condition_occurrence,condition_source_concept_id,age accuracy,person,person_id,"T2.""year_of_birth""",KCD7,42486926,,H,50,사회적 기능수행의 기타 소아기 장애,F94.8,
50040,2,condition_occurrence,condition_source_concept_id,age accuracy,person,person_id,"T2.""year_of_birth""",KCD7,42486927,,H,50,사회적 기능수행의 상세불명의 소아기 장애,F94.9,
50041,2,condition_occurrence,condition_source_concept_id,age accuracy,person,person_id,"T2.""year_of_birth""",KCD7,42486935,,L,5,비기질성 유뇨증,F98.0,
50042,2,condition_occurrence,condition_source_concept_id,age accuracy,person,person_id,"T2.""year_of_birth""",KCD7,42486936,,L,4,비기질성 유분증,F98.1,
50043,2,condition_occurrence,condition_source_concept_id,age accuracy,person,person_id,"T2.""year_of_birth""",KCD7,42497213,,H,50,영아돌연사증후군,R95,
50044,2,condition_occurrence,condition_source_concept_id,age accuracy,person,person_id,"T2.""year_of_birth""",KCD7,42497214,,H,50,부검에 대한 언급이 있는 영아돌연사증후군,R95.0,
50045,2,condition_occurrence,condition_source_concept_id,age accuracy,person,person_id,"T2.""year_of_birth""",KCD7,42497215,,H,50,부검에 대한 언급이 없는 영아돌연사증후군,R95.9,
50046,2,drug_exposure,drug_exposure_start_date,date accuracy,drug_exposure,drug_exposure_id,"""drug_exposure_end_date""",,,,H,0,,,
50047,1,Vital_Signs,Measure_Date,date accuracy,Encounter,EncounterID,"""ADate""",,,,L,0,,,
50048,1,Encounter,ADate,date accuracy,Encounter,EncounterID,"""DDate""",,,,H,0,,,
50049,1,Vital_Signs,Measure_Date,date accuracy,Encounter,EncounterID,"""DDate""",,,,H,0,,,
50050,1,Encounter,DDate,date accuracy,Enrollment,PatID,"""Enr_End""",,,,H,0,,,
50051,1,Enrollment,Enr_Start,date accuracy,Enrollment,PatID,"""Enr_End""",,,,H,0,,,
50052,1,Demographic,Birth_Date,date accuracy,Enrollment,PatID,"""Enr_Start""",,,,H,0,,,
50053,1,Encounter,ADate,date accuracy,Enrollment,PatID,"""Enr_Start""",,,,L,0,,,
50054,1,Demographic,Birth_Date,date accuracy,Enrollment,PatID,"""Enr_Start""",,,,L,120,,,
50055,1,Demographic,Birth_Date,date accuracy,Enrollment,PatID,"""Enr_Start""",,,,H,0,,,
50056,2,observation_period,observation_period_start_date,date accuracy,observation_period,observation_period_id,"""observation_period_end_date""",,,,H,0,,,
50057,2,visit_occurrence,visit_end_date,date accuracy,observation_period,person_id,"""observation_period_end_date""",,,,H,0,,,
50058,2,visit_occurrence,visit_start_date,date accuracy,observation_period,person_id,"""observation_period_start_date""",,,,L,0,,,
50059,2,person,year_of_birth,date accuracy,observation_period,person_id,"year(""observation_period_start_date"")",,,,H,0,,,
50060,2,visit_occurrence,visit_start_date,date accuracy,visit_occurrence,visit_occurrence_id,"""visit_end_date""",,,,H,0,,,
50061,2,condition_occurrence,condition_start_date,date accuracy,visit_occurrence,visit_occurrence_id,"""visit_end_date""",,,,H,0,,,
50062,2,drug_exposure,drug_exposure_start_date,date accuracy,visit_occurrence,visit_occurrence_id,"""visit_end_date""",,,,H,0,,,
50063,2,measurement,measurement_date,date accuracy,visit_occurrence,visit_occurrence_id,"""visit_end_date""",,,,H,0,,,
50064,2,procedure_occurrence,procedure_date,date accuracy,visit_occurrence,visit_occurrence_id,"""visit_end_date""",,,,H,0,,,
50065,2,condition_occurrence,condition_start_date,date accuracy,visit_occurrence,visit_occurrence_id,"""visit_start_date""",,,,L,0,,,
50066,2,drug_exposure,drug_exposure_start_date,date accuracy,visit_occurrence,visit_occurrence_id,"""visit_start_date""",,,,L,0,,,
50067,2,measurement,measurement_date,date accuracy,visit_occurrence,visit_occurrence_id,"""visit_start_date""",,,,L,0,,,
50068,2,procedure_occurrence,procedure_date,date accuracy,visit_occurrence,visit_occurrence_id,"""visit_start_date""",,,,L,0,,,
50069,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'A18.13',,,M,전립선의 결핵(N51.0*),,
50070,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'A18.14',,,M,기타 남성생식기관의 결핵(N51.-*),,
50071,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'A18.15',,,F,자궁경부의 결핵(N74.0*),,
50072,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'A18.16',,,F,결핵성 여성골반염증질환(N74.1*),,
50073,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'A18.17',,,F,기타 여성생식기관의 결핵,,
50074,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'A34',,,F,산과적 파상풍,,
50075,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'A59.00',,,F,편모충성 외음질염,,
50076,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'A59.01',,,M,편모충성 전립선염(N51.0*),,
50077,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'A60.00',,,M,음경의 헤르페스바이러스감염,,
50078,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'A60.01',,,M,기타 남성생식기관의 헤르페스바이러스감염,,
50079,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'A60.02',,,F,헤르페스바이러스자궁경부염,,
50080,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'A60.03',,,F,헤르페스바이러스외음질염,,
