rule_id,level,table,field,rule,ref,ref_detail
10001,1,Demographic,,table name consistency,Demographic,
10002,1,Enrollment,,table name consistency,Enrollment,
10003,1,Dispensing,,table name consistency,Dispensing,
10004,1,Encounter,,table name consistency,Encounter,
10005,1,Diagnosis,,table name consistency,Diagnosis,
10006,1,Procedure,,table name consistency,Procedure,
10007,1,Laboratory_result,,table name consistency,Laboratory_result,
10008,1,Vital_signs,,table name consistency,Vital_signs,
10009,2,person,,table name consistency,person,
10010,2,observation_period,,table name consistency,observation_period,
10011,2,drug_exposure,,table name consistency,drug_exposure,
10012,2,visit_occurrence,,table name consistency,visit_occurrence,
10013,2,condition_occurrence,,table name consistency,condition_occurrence,
10014,2,procedure_occurrence,,table name consistency,procedure_occurrence,
10015,2,measurement,,table name consistency,measurement,
10016,1,Demographic,PatID,field name consistency,PatID,
10017,1,Demographic,Birth_Date,field name consistency,Birth_Date,
10018,1,Demographic,Sex,field name consistency,Sex,
10019,1,Demographic,Hispanic,field name consistency,Hispanic,
10020,1,Demographic,Race,field name consistency,Race,
10021,1,Demographic,Zip,field name consistency,Zip,
10022,1,Demographic,Zip_Date,field name consistency,Zip_Date,
10023,1,Enrollment,PatID,field name consistency,PatID,
10024,1,Enrollment,Enr_Start,field name consistency,Enr_Start,
10025,1,Enrollment,Enr_End,field name consistency,Enr_End,
10026,1,Dispensing,PatID,field name consistency,PatID,
10027,1,Dispensing,RxDate,field name consistency,RxDate,
10028,1,Dispensing,NDC,field name consistency,NDC,
10029,1,Dispensing,RxSup,field name consistency,RxSup,
10030,1,Dispensing,RxAmt,field name consistency,RxAmt,
10031,1,Dispensing,EDI_code,field name consistency,EDI_code,
10032,1,Encounter,PatID,field name consistency,PatID,
10033,1,Encounter,EncounterID,field name consistency,EncounterID,
10034,1,Encounter,ADate,field name consistency,ADate,
10035,1,Encounter,DDate,field name consistency,DDate,
10036,1,Encounter,Provider,field name consistency,Provider,
10037,1,Encounter,EncType,field name consistency,EncType,
10038,1,Encounter,Discharge_Disposition,field name consistency,Discharge_Disposition,
10039,1,Encounter,Discharge_Status,field name consistency,Discharge_Status,
10040,1,Encounter,Admitting_Source,field name consistency,Admitting_Source,
10041,1,Diagnosis,PatID,field name consistency,PatID,
10042,1,Diagnosis,EncounterID,field name consistency,EncounterID,
10043,1,Diagnosis,ADate,field name consistency,ADate,
10044,1,Diagnosis,Provider,field name consistency,Provider,
10045,1,Diagnosis,EncType,field name consistency,EncType,
10046,1,Diagnosis,DX,field name consistency,DX,
10047,1,Diagnosis,Dx_Codetype,field name consistency,Dx_Codetype,
10048,1,Diagnosis,OrigDX,field name consistency,OrigDX,
10049,1,Diagnosis,PDX,field name consistency,PDX,
10050,1,Procedure,PatID,field name consistency,PatID,
10051,1,Procedure,EncounterID,field name consistency,EncounterID,
10052,1,Procedure,ADate,field name consistency,ADate,
10053,1,Procedure,Provider,field name consistency,Provider,
10054,1,Procedure,EncType,field name consistency,EncType,
10055,1,Procedure,PX,field name consistency,PX,
10056,1,Procedure,OrigPX,field name consistency,OrigPX,
10057,1,Procedure,PX_CodeType,field name consistency,PX_CodeType,
10058,1,Laboratory_result,PatID,field name consistency,PatID,
10059,1,Laboratory_result,Result_Type,field name consistency,Result_Type,
10060,1,Laboratory_result,MS_Test_Name,field name consistency,MS_Test_Name,
10061,1,Laboratory_result,MS_Test_Sub_Category,field name consistency,MS_Test_Sub_Category,
10062,1,Laboratory_result,Fast_Ind,field name consistency,Fast_Ind,
10063,1,Laboratory_result,Specimen_Source,field name consistency,Specimen_Source,
10064,1,Laboratory_result,Stat,field name consistency,Stat,
10065,1,Laboratory_result,Pt_Loc,field name consistency,Pt_Loc,
10066,1,Laboratory_result,Result_Loc,field name consistency,Result_Loc,
10067,1,Laboratory_result,LOCAL_CD,field name consistency,LOCAL_CD,
10068,1,Laboratory_result,PX,field name consistency,PX,
10069,1,Laboratory_result,PX_CodeType,field name consistency,PX_CodeType,
10070,1,Laboratory_result,Lab_dt,field name consistency,Lab_dt,
10071,1,Laboratory_result,Lab_tm,field name consistency,Lab_tm,
10072,1,Laboratory_result,Orig_Result,field name consistency,Orig_Result,
10073,1,Laboratory_result,Orig_Result_unit,field name consistency,Orig_Result_unit,
10074,1,Laboratory_result,Norm_Range_low,field name consistency,Norm_Range_low,
10075,1,Laboratory_result,Modifier_low,field name consistency,Modifier_low,
10076,1,Laboratory_result,Norm_Range_high,field name consistency,Norm_Range_high,
10077,1,Laboratory_result,Modifier_high,field name consistency,Modifier_high,
10078,1,Laboratory_result,Abn_ind,field name consistency,Abn_ind,
10079,1,Laboratory_result,MS_Result_C,field name consistency,MS_Result_C,
10080,1,Laboratory_result,MS_Result_N,field name consistency,MS_Result_N,
10081,1,Laboratory_result,Modifier,field name consistency,Modifier,
10082,1,Laboratory_result,Result_unit,field name consistency,Result_unit,
10083,1,Laboratory_result,LOINC,field name consistency,LOINC,
10084,1,Vital_signs,PatID,field name consistency,PatID,
10085,1,Vital_signs,EncounterID,field name consistency,EncounterID,
10086,1,Vital_signs,Measure_Date,field name consistency,Measure_Date,
10087,1,Vital_signs,Measure_Time,field name consistency,Measure_Time,
10088,1,Vital_signs,HT,field name consistency,HT,
10089,1,Vital_signs,WT,field name consistency,WT,
10090,1,Vital_signs,Diastolic,field name consistency,Diastolic,
10091,1,Vital_signs,Systolic,field name consistency,Systolic,
10092,1,Vital_signs,BP_Type,field name consistency,BP_Type,
10093,1,Vital_signs,Position,field name consistency,Position,
10094,1,Vital_signs,Tobacco,field name consistency,Tobacco,
10095,1,Vital_signs,Tobacco_Type,field name consistency,Tobacco_Type,
10096,2,person,person_id,field name consistency,person_id,
10097,2,person,year_of_birth,field name consistency,year_of_birth,
10098,2,person,month_of_birth,field name consistency,month_of_birth,
10099,2,person,day_of_birth,field name consistency,day_of_birth,
10100,2,person,time_of_birth,field name consistency,time_of_birth,
10101,2,person,gender_source_value,field name consistency,gender_source_value,
10102,2,person,race_source_value,field name consistency,race_source_value,
10103,2,person,ethnicity_source_value,field name consistency,ethnicity_source_value,
10104,2,person,person_source_value,field name consistency,person_source_value,
10105,2,person,gender_concept_id,field name consistency,gender_concept_id,
10106,2,person,gender_source_concept_id,field name consistency,gender_source_concept_id,
10107,2,person,race_concept_id,field name consistency,race_concept_id,
10108,2,person,race_source_concept_id,field name consistency,race_source_concept_id,
10109,2,person,ethnicity_concept_id,field name consistency,ethnicity_concept_id,
10110,2,person,ethnicity_source_concept_id,field name consistency,ethnicity_source_concept_id,
10111,2,person,location_id,field name consistency,location_id,
10112,2,person,provider_id,field name consistency,provider_id,
